address,suburb,postcode,state,orientation,gnaf_pid,property_centroid_x,property_centroid_y,property_area,property_perimeter,nearest_point_x,nearest_point_y,angle_to_road,road_id,distance_to_road
138 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Northeast,GANSW710652711,334773.80294297065,6258290.014033386,411.2121650453083,112.60282434728317,334814.6500673018,6258328.118851971,43.01069614115104,132,39.52342536156755
136A EDINBURGH ROAD,CASTLECRAG,2068,NSW,Southwest,GANSW704357432,334760.5366073095,6258292.13283825,800.1553864761481,128.03323240515243,334742.55808338884,6258254.973795821,-115.8189205801242,134,16.42213357097848
136 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Southwest,GANSW704357433,334760.5366073095,6258292.13283825,800.1553864761481,128.03323240515243,334742.55808338884,6258254.973795821,-115.8189205801242,134,16.42213357097848
144 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Northwest,GANSW704357437,334872.0093608168,6258336.190060699,933.3611558689294,136.60262420288979,334851.2327609627,6258358.795020301,132.58663962349104,54,10.256941216624769
142 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Southwest,GANSW704357436,334856.52598006994,6258323.538383301,718.8054386790657,127.29609533585817,334834.3094120058,6258307.82626386,-144.73108275028122,132,7.267942278723541
14 SORTIE PORT,CASTLECRAG,2068,NSW,Northeast,GANSW704349160,334913.32561099774,6258323.779787168,889.4171202564388,127.67753488678103,334938.1778341728,6258340.590579485,34.07560454543749,142,9.409730717635393
148 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Northeast,GANSW704360679,334895.54711186554,6258351.9748969795,1626.9342259563864,156.63528283650882,334921.1162605291,6258367.823572704,31.79211987355135,142,9.589225881713212
119 EDINBURGH ROAD,CASTLECRAG,2068,NSW,South,GANSW708832100,334773.49338949425,6258353.488300894,541.2380402019555,106.9846344224535,334773.63096332346,6258322.6195454905,-89.74464964671311,54,12.511800917164898
117 EDINBURGH ROAD,CASTLECRAG,2068,NSW,South,GANSW708822605,334758.4741802922,6258352.947313142,558.4769603536611,108.11075294277639,334758.60964144365,6258322.552599456,-89.74464964668132,54,12.115687630466086
121 EDINBURGH ROAD,CASTLECRAG,2068,NSW,North,GANSW708832103,334811.6583159329,6258383.788816792,5968.252319995078,328.81700584219783,334815.31037657085,6258420.133820545,84.26199953180436,156,5.445863504325467
150 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Northwest,GANSW704357442,334953.2367781087,6258393.494640041,3743.9032291557714,261.955718605045,334924.13390271715,6258425.48388172,132.2950074769414,54,9.809301695854966
8 THE BATTLEMENT,CASTLECRAG,2068,NSW,Southeast,GANSW704349506,335001.0681963284,6258390.25836153,789.5456007030427,123.69385270764165,335025.2483777847,6258371.800105122,-37.35677557016547,149,8.626207739117461
6B THE BATTLEMENT,CASTLECRAG,2068,NSW,Southeast,GANSW708823057,334992.4313469135,6258374.132876577,695.2103335409226,112.56752409269099,335014.29100274434,6258357.446023625,-37.356775569738446,149,8.43678068452349
6A THE BATTLEMENT,CASTLECRAG,2068,NSW,Southeast,GANSW708823058,334992.4313469135,6258374.132876577,695.2103335409226,112.56752409269099,335014.29100274434,6258357.446023625,-37.356775569738446,149,8.43678068452349
6 THE BATTLEMENT,CASTLECRAG,2068,NSW,Southeast,GANSW710650975,334992.4313469135,6258374.132876577,695.2103335409226,112.56752409269099,335014.29100274434,6258357.446023625,-37.356775569738446,149,8.43678068452349
2 THE BATTLEMENT,CASTLECRAG,2068,NSW,Southeast,GANSW704346893,334969.73909177183,6258343.712188606,704.0609109490096,108.52959428553737,334991.2640250094,6258327.280850505,-37.356775569286434,149,8.836951482883912
