state,sa4,geometry
NSW,Sydney - North Sydney and Hornsby,"MULTIPOLYGON (((151.21179803600012 -33.79615291199997, 151.21180058100003 -33.796160827999984, 151.2118040780001 -33.796168518999934, 151.21180834500012 -33.796175922999964, 151.21181337300004 -33.79618300499993, 151.21181911000008 -33.796189692999974, 151.21182552000005 -33.79619593999996, 151.21183254800007 -33.79620170399994, 151.2118401140001 -33.796206920999964, 151.2109448440001 -33.79628440299996, 151.2109387040001 -33.796266825999965, 151.21088832600003 -33.79612269299997, 151.2115399270001 -33.796036138999966, 151.21179803600012 -33.79615291199997)))"
NSW,Sydney - North Sydney and Hornsby,"MULTIPOLYGON (((151.21189635400003 -33.79622667799998, 151.21160939000004 -33.796468156999936, 151.2114927780001 -33.79646537799994, 151.21120046300007 -33.79645785699995, 151.21100294000007 -33.79645235299995, 151.21094806200006 -33.79629397699995, 151.2109448440001 -33.79628440299996, 151.2118401140001 -33.796206920999964, 151.2118487020001 -33.79621164499997, 151.21185763900007 -33.796215821999965, 151.2118669340001 -33.79621942499995, 151.21187651700006 -33.796222445999945, 151.21188634100008 -33.79622486699998, 151.21189635400003 -33.79622667799998)))"
NSW,Sydney - North Sydney and Hornsby,"MULTIPOLYGON (((151.21219714900008 -33.79645697199993, 151.21169113300004 -33.79665168599996, 151.21160939000004 -33.796468156999936, 151.21189635400003 -33.79622667799998, 151.21190487 -33.79622699999993, 151.21191328700002 -33.79622807599998, 151.2119215340001 -33.79622988699998, 151.21192950300008 -33.796232413999974, 151.21193710400007 -33.79623562299997, 151.21194426700004 -33.79623948699998, 151.21195090000003 -33.79624395099995, 151.211956933 -33.79624897999997, 151.21196229300006 -33.796254501999954, 151.21218415200008 -33.796447075999936, 151.21219714900008 -33.79645697199993)))"
NSW,Sydney - North Sydney and Hornsby,"MULTIPOLYGON (((151.2125366780001 -33.79655233099993, 151.2123819510001 -33.796410170999934, 151.21259647600004 -33.79625833099993, 151.2128916150001 -33.796409267999934, 151.2125366780001 -33.79655233099993)))"
NSW,Sydney - North Sydney and Hornsby,"MULTIPOLYGON (((151.21270973700007 -33.79672065699998, 151.21266333000005 -33.79666922299998, 151.2125366780001 -33.79655233099993, 151.2128916150001 -33.796409267999934, 151.21320272000003 -33.796568467999975, 151.21270973700007 -33.79672065699998)))"
NSW,Sydney - North Sydney and Hornsby,"MULTIPOLYGON (((151.21238422800002 -33.79662825599996, 151.21176773000002 -33.79682408999997, 151.21170535900012 -33.796683875999975, 151.2122263440001 -33.796485279999956, 151.21238422800002 -33.79662825599996)))"
NSW,Sydney - North Sydney and Hornsby,"MULTIPOLYGON (((151.21254150000004 -33.79677042499998, 151.21210967000002 -33.796904720999976, 151.2118412970001 -33.79698913399994, 151.2117803420001 -33.79685300799997, 151.21176773000002 -33.79682408999997, 151.21238422800002 -33.79662825599996, 151.2125283140001 -33.796758842999964, 151.21254150000004 -33.79677042499998)))"
NSW,Sydney - North Sydney and Hornsby,"MULTIPOLYGON (((151.21160939000004 -33.796468156999936, 151.21169113300004 -33.79665168599996, 151.21135476900008 -33.79682916199994, 151.21134601000006 -33.796824321999964, 151.21133678700005 -33.79682011799997, 151.21132716800003 -33.79681659499994, 151.2113172270001 -33.79681376199994, 151.2113070270001 -33.79681166499995, 151.21129665400008 -33.79681030199998, 151.21128617600004 -33.79680968399998, 151.21127567000008 -33.79680981799993, 151.2112652180001 -33.796810704999984, 151.21125489200006 -33.79681233799994, 151.2114927780001 -33.79646537799994, 151.21160939000004 -33.796468156999936)))"
NSW,Sydney - North Sydney and Hornsby,"MULTIPOLYGON (((151.2114927780001 -33.79646537799994, 151.21125489200006 -33.79681233799994, 151.2112457300001 -33.79681444399995, 151.211236793 -33.79681715099997, 151.21122812500005 -33.79682042199994, 151.21121978000008 -33.79682424999993, 151.21121183800005 -33.796828597999934, 151.21120524000003 -33.79683443299996, 151.2111979970001 -33.79683969499996, 151.2111901710001 -33.79684434699993, 151.21118183500005 -33.79684833599998, 151.21117307800012 -33.79685162699997, 151.21116397000003 -33.796854189999976, 151.2111546120001 -33.79685599199996, 151.21114508300002 -33.79685702299997, 151.21120046300007 -33.79645785699995, 151.2114927780001 -33.79646537799994)))"
NSW,Sydney - North Sydney and Hornsby,"MULTIPOLYGON (((151.21120046300007 -33.79645785699995, 151.21114508300002 -33.79685702299997, 151.2109994100001 -33.79686666699996, 151.21100294000007 -33.79645235299995, 151.21120046300007 -33.79645785699995)))"
